accession	name
ERR188190	HG00171_3
ERR188445	HG00173_3
ERR188163	HG00174_4
ERR188187	HG00176_4
ERR188180	HG00177_4
ERR188248	HG00178_4
ERR188304	HG00179_1
ERR188146	HG00180_1
ERR188267	HG00266_6
ERR188117	HG00268_5
ERR188238	HG00269_2
ERR188250	HG00272_7
ERR188264	HG00274_6
ERR188326	HG00275_4
ERR188318	HG00276_2
ERR188263	HG00281_1
ERR188266	HG00282_2
ERR188083	HG00285_3
ERR188240	HG00306_1
ERR188432	HG00309_7
ERR188123	HG00313_2
ERR188023	HG00315_2
ERR188300	HG00319_4
ERR188046	HG00320_1
ERR188255	HG00323_1
ERR188113	HG00324_1
ERR188418	HG00326_1
ERR188417	HG00327_3
ERR188341	HG00328_2
ERR188296	HG00330_1
ERR188056	HG00331_7
ERR188294	HG00332_6
ERR188127	HG00334_2
ERR188098	HG00337_5
ERR188321	HG00339_4
ERR188141	HG00343_1
ERR188473	HG00344_4
ERR188168	HG00346_2
ERR188075	HG00349_4
ERR188031	HG00350_3
ERR188340	HG00353_1
ERR188029	HG00355_2
ERR188241	HG00356_2
ERR188175	HG00359_1
ERR188215	HG00361_7
ERR188480	HG00362_3
ERR188303	HG00364_2
ERR188395	HG00365_7
ERR188358	HG00367_2
ERR188198	HG00373_2
ERR188299	HG00376_2
ERR188025	HG00377_2
ERR188472	HG00378_5
ERR188330	HG00379_5
ERR188314	HG00380_3
ERR188280	HG00381_3
ERR188102	HG00383_1
ERR188043	HG00384_2
